latitude,longitude,reflectivity_dbz,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
23.064608,87.867306,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.28145,89.930489,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.187392,86.255051,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.684715,88.347719,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.557068,88.439986,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.494416,88.827834,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.07781,88.863928,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.279706,90.492666,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.392112,89.552864,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.790983,87.853045,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.044244,89.081842,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.404471,89.771766,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.739421,87.861838,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.786805,89.127115,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.542656,88.780365,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.788016,86.823897,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.684347,87.381422,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.559176,88.584214,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.552137,88.888479,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.856103,88.126717,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.561188,88.852954,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.54923,89.425614,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.189403,87.861027,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.832207,87.973815,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.06566,86.779389,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.362414,87.998135,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.353307,87.953131,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.50536,89.894042,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.66894,90.165263,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.994327,86.609186,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.573151,88.423277,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.575756,89.144776,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.820432,87.617088,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.530807,87.60668,60.0,328.354,Very Heavy,2025-04-27 00:22:33
