latitude,longitude,reflectivity_dbz,sweep_number,elevation_angle,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
22.432061,88.885891,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.278144,88.073548,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.489698,89.608894,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.942831,87.53797,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
24.456544,87.69581,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.115316,88.50608,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.189126,90.412682,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.176147,87.774651,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.737257,89.522133,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.469764,89.140665,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.565945,88.594576,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.187608,88.084253,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.525623,88.411175,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.550934,87.389779,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.038611,90.007781,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.060759,86.067386,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.764066,88.438193,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
24.550761,89.035907,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.133897,88.109178,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.752139,86.66113,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
24.812348,88.196967,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.955293,88.572186,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.041288,87.78057,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.596281,90.164524,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.855938,88.099463,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.561658,86.757181,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.570015,89.517745,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.349611,89.056231,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.314712,88.300982,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.488284,89.186819,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.238973,88.012821,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.487869,89.345595,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.503726,88.061758,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.604739,87.136973,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.354853,89.927369,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.648033,89.632115,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.932066,89.303555,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.747488,88.006294,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.993852,89.41282,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.753706,88.962982,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.817226,88.100917,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.865856,89.53064,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
